Regions,Percentage_Full Time,Score_Full Time,Grades_Full Time,Level_Income,Score_Income,Grades_Income,Percentage_Poverty,Score_Poverty,Grades_Poverty,Percentage_Working Poor,Score_Working Poor,Grades_Working Poor,Percentage_Homeownership,Score_Homeownership,Grades_Homeownership,Percentage_Rent Burden,Score_Rent Burden,Grades_Rent Burden,Percentage_Unemployment,Score_Unemployment,Grades_Unemployment,Score_OVERALL,Grades_OVERALL
Onondaga County (North) ,#DIV/0!,#DIV/0!,#DIV/0!, NA ,#VALUE!,#VALUE!,90%,-1.39,D-,#DIV/0!,#DIV/0!,#DIV/0!,1%,-0.71,C-,#DIV/0!,#DIV/0!,#DIV/0!,100%,-6.09,E,#DIV/0!,#DIV/0!
Ontario & Yates Counties ,62%,-1.61,D-," $15,000.00 ",-0.87, D ,68%,-0.62,C-,0%,1.20,B,7%,-0.50,C-,0%,1.08,B,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Orange County (Northeast)--Greater Newburgh City ,11%,0.56,B-," $22,000.00 ",-0.22, C ,69%,-0.64,C-,17%,0.65,B-,0%,-0.74,C-,0%,1.08,B,0%,0.46,B-,0.17,C
Orange County (Northwest) ,16%,0.36,B-," $28,006.40 ",0.35, B- ,73%,-0.78,D,61%,-0.74,C-,0%,-0.74,C-,34%,0.07,C,0%,0.46,B-,-0.14,C
Orange County (Southeast) ,6%,0.79,B," $32,742.30 ",0.79, B ,94%,-1.54,D-,100%,-1.95,E,18%,-0.16,C,41%,-0.11,C,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Oswego County ,#DIV/0!,#DIV/0!,#DIV/0!, NA ,#VALUE!,#VALUE!,62%,-0.39,C-,#DIV/0!,#DIV/0!,#DIV/0!,10%,-0.41,C-,49%,-0.36,C-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties ; New York",60%,-1.51,D-," $15,000.00 ",-0.87, D ,48%,0.11,C,#DIV/0!,#DIV/0!,#DIV/0!,18%,-0.16,C,38%,-0.04,C,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Putnam County ,8%,0.69,B-, NA ,#VALUE!,#VALUE!,100%,-1.76,E,58%,-0.64,C-,15%,-0.24,C,85%,-1.40,D-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Rensselaer County--Troy City ,0%,1.04,B," $29,863.40 ",0.52, B- ,100%,-1.76,E,0%,1.20,B,1%,-0.69,C-,36%,0.03,C,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Rockland County (North)--New City & Congers ,30%,-0.23,C, NA ,#VALUE!,#VALUE!,100%,-1.76,E,30%,0.25,B-,0%,-0.74,C-,30%,0.22,C,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns ; New York",46%,-0.94,D," $1,000.00 ",-2.18, E ,100%,-1.76,E,0%,1.20,B,0%,-0.74,C-,33%,0.12,C,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Rockland County (West)--Spring Valley, Suffern Villages & Monsey ; New York",6%,0.79,B," $23,333.80 ",-0.09, C ,100%,-1.76,E,35%,0.11,C,0%,-0.74,C-,15%,0.66,B-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Saratoga County (Outer) ,#DIV/0!,#DIV/0!,#DIV/0!," $45,584.40 ",1.99, A ,100%,-1.76,E,#DIV/0!,#DIV/0!,#DIV/0!,0%,-0.74,C-,42%,-0.15,C,0%,0.46,B-,#DIV/0!,#DIV/0!
Saratoga County (South & Central) ,#DIV/0!,#DIV/0!,#DIV/0!," $45,146.90 ",1.95, A ,100%,-1.76,E,#DIV/0!,#DIV/0!,#DIV/0!,0%,-0.74,C-,24%,0.37,B-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Schenectady County--Schenectady City ,0%,1.04,B," $75,600.00 ",4.80, A ,100%,-1.76,E,100%,-1.95,E,#DIV/0!,#DIV/0!,#DIV/0!,23%,0.40,B-,0%,0.46,B-,#DIV/0!,#DIV/0!
St. Lawrence County ,0%,1.04,B, NA ,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,39%,-0.06,C,0%,0.46,B-,#DIV/0!,#DIV/0!
"Steuben (North & West), Schuyler & Chemung (North) Counties ; New York",#DIV/0!,#DIV/0!,#DIV/0!, NA ,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,59%,-0.64,C-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Suffolk County (Central)--Brookhaven Town (Central) ,45%,-0.87,D, NA ,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!,#DIV/0!,0%,1.20,B,#DIV/0!,#DIV/0!,#DIV/0!,32%,0.14,C,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Suffolk County (Central)--Brookhaven Town (West Central) ,27%,-0.10,C," $23,714.30 ",-0.06, C ,#DIV/0!,#DIV/0!,#DIV/0!,0%,1.20,B,#DIV/0!,#DIV/0!,#DIV/0!,39%,-0.07,C,0%,0.46,B-,#DIV/0!,#DIV/0!
Suffolk County (Central)--Islip Town (East) ,#DIV/0!,#DIV/0!,#DIV/0!, NA ,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0%,1.08,B,0%,0.46,B-,#DIV/0!,#DIV/0!
Suffolk County (Central)--Islip Town (Northwest) ,19%,0.23,C, NA ,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!,#DIV/0!,17%,0.66,B-,#DIV/0!,#DIV/0!,#DIV/0!,100%,-1.85,E,17%,-0.63,C-,#DIV/0!,#DIV/0!
Suffolk County (East) ,0%,1.04,B, NA ,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!,#DIV/0!,11%,0.84,B,#DIV/0!,#DIV/0!,#DIV/0!,69%,-0.95,D,0%,0.46,B-,#DIV/0!,#DIV/0!
Suffolk County (North Central)--Brookhaven Town (North) ,96%,-3.04,E," $28,000.00 ",0.35, B- ,#DIV/0!,#DIV/0!,#DIV/0!,0%,1.20,B,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Suffolk County (Northwest)--Huntington Town (North) ,8%,0.70,B-, $520.00 ,-2.23, E ,#DIV/0!,#DIV/0!,#DIV/0!,27%,0.36,B-,63%,1.27,A-,100%,-1.85,E,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Suffolk County (Northwest)--Huntington Town (South) ,18%,0.26,B-," $23,495.50 ",-0.08, C ,0%,1.81,A,0%,1.20,B,66%,1.38,A-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Suffolk County (Northwest)--Smithtown Town ,40%,-0.64,C-," $16,857.10 ",-0.70, C- ,66%,-0.55,C-,100%,-1.95,E,#DIV/0!,#DIV/0!,#DIV/0!,0%,1.08,B,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Suffolk County (South Central)--Brookhaven Town (South) ,0%,1.04,B," $24,932.90 ",0.06, C ,#DIV/0!,#DIV/0!,#DIV/0!,0%,1.20,B,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0%,0.46,B-,#DIV/0!,#DIV/0!
Suffolk County (Southwest)--Babylon Town (Southeast) ,5%,0.84,B, NA ,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!,#DIV/0!,19%,0.61,B-,0%,-0.74,C-,100%,-1.85,E,0%,0.46,B-,#DIV/0!,#DIV/0!
Suffolk County (Southwest)--Islip Town (South) ,73%,-2.05,E, NA ,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!,#DIV/0!,32%,0.20,C,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0%,0.46,B-,#DIV/0!,#DIV/0!
Suffolk County (West Central)--Babylon Town (Northwest) ,6%,0.80,B, NA ,#VALUE!,#VALUE!,100%,-1.76,E,18%,0.63,B-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Sullivan & Ulster (West) Counties ,17%,0.32,B-, NA ,#VALUE!,#VALUE!,52%,-0.06,C,0%,1.20,B,0%,-0.74,C-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Tompkins County ,#DIV/0!,#DIV/0!,#DIV/0!, NA ,#VALUE!,#VALUE!,0%,1.81,A,#DIV/0!,#DIV/0!,#DIV/0!,0%,-0.74,C-,0%,1.08,B,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Ulster County (East) ,39%,-0.60,C-, NA ,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!,#DIV/0!,0%,1.20,B,#DIV/0!,#DIV/0!,#DIV/0!,100%,-1.85,E,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Warren & Washington Counties ,0%,1.04,B, NA ,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Wayne & Seneca Counties ,#DIV/0!,#DIV/0!,#DIV/0!," $26,000.00 ",0.16, C ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Westchester County (Central)--White Plains City ,23%,0.05,C," $27,600.00 ",0.31, B- ,#DIV/0!,#DIV/0!,#DIV/0!,40%,-0.06,C,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0%,0.46,B-,#DIV/0!,#DIV/0!
Westchester County (Northeast) ,10%,0.60,B-, NA ,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!,#DIV/0!,10%,0.88,B,#DIV/0!,#DIV/0!,#DIV/0!,100%,-1.85,E,0%,0.46,B-,#DIV/0!,#DIV/0!
Westchester County (Northwest) ,18%,0.26,B-, NA ,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!,#DIV/0!,27%,0.36,B-,#DIV/0!,#DIV/0!,#DIV/0!,100%,-1.85,E,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Westchester County (South Central)--New Rochelle & Mount Vernon Cities ,13%,0.49,B-, NA ,#VALUE!,#VALUE!,0%,1.81,A,35%,0.09,C,0%,-0.74,C-,16%,0.60,B-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Westchester County (Southeast) ,2%,0.95,B, NA ,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!,#DIV/0!,64%,-0.81,D,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Westchester County (Southwest)--Yonkers City ,28%,-0.16,C, NA ,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!,#DIV/0!,12%,0.83,B,#DIV/0!,#DIV/0!,#DIV/0!,0%,1.08,B,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
